"Regional Council 1-way (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Wanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Total all regions"
" ","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing","Mean Earnings - Continuing"
"1999Q2","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"2011Q2",11580,14480,12300,11820,11080,11540,12790,11550,14570,10710,11560,11360,12250,12410,11560,11530,13150
"2011Q3",11450,14520,12380,11580,10950,11130,12650,11280,14910,10620,11310,11240,12220,12490,11300,11230,13160
"2011Q4",12190,15110,13130,12190,11660,11860,13460,12010,15380,11250,11980,11630,13210,12990,12090,12070,13780
"2012Q1",11630,14520,12350,11860,11200,11400,13210,11510,14860,11140,11600,11430,12720,12580,11800,11740,13270
"2012Q2",11950,14820,12670,12200,11350,11800,13410,11890,14930,11120,11870,11710,13090,12840,12060,11920,13540
"2012Q3",11740,14800,12680,12030,11170,11440,13340,11630,15160,11040,11780,11590,13090,12800,11780,11610,13490
"2012Q4",12570,15570,13550,12720,12210,12290,14200,12620,15740,11740,12370,12410,13470,13550,12640,12530,14260
"2013Q1",11890,14820,12640,12120,11340,11860,13640,11710,15070,11190,11760,11720,12660,12790,12040,11980,13540
"2013Q2",12250,15200,13040,12530,11690,12100,13920,12140,15280,11490,12330,12230,13130,13180,12410,12210,13900
"2013Q3",12090,15220,12950,12380,11470,11720,13760,11900,15570,11230,12090,12000,12670,13150,12080,11810,13850
"2013Q4",13130,16050,13990,13280,12680,12790,14900,12890,16270,12140,12690,12580,13660,14100,13040,12980,14740
"2014Q1",12150,15030,12870,12310,11600,11930,14400,11870,15410,11380,12050,11970,12870,13150,12250,12180,13790
"2014Q2",12680,15620,13430,12890,12020,12480,14680,12560,15800,11680,12380,12600,13570,13770,12810,12640,14350
"2014Q3",12550,15830,13510,12760,12030,12320,14540,12310,16120,11580,12660,12420,13120,13850,12680,12400,14430
"2014Q4",13510,16440,14380,13490,12850,13070,15190,13290,16960,12440,13070,13100,14050,14610,13460,13240,15170
"2015Q1",12460,15460,13090,12530,11700,12120,14480,12260,15620,11700,12510,12510,13140,13580,12720,12630,14150
"2015Q2",13030,15940,13680,13140,12190,12510,14610,12920,16220,11960,12640,12910,13460,14130,12910,12860,14640
"2015Q3",13150,16390,14050,13390,12270,12680,14670,12890,16540,11960,13140,13040,13420,14430,13110,12780,14950
"2015Q4",13670,16670,14420,13560,12770,13170,14970,13350,17250,12510,13190,13490,13880,14720,13600,13390,15330
"2016Q1",13390,16310,13920,13420,12460,13110,15160,13160,16530,12180,13040,13100,13640,14210,13470,13340,14960
"2016Q2",13270,16400,14050,13540,12720,13080,14490,13130,16830,12210,13230,13300,13460,14390,13370,13090,15050
"2016Q3",13240,16560,13990,13480,12240,12960,14620,13030,16610,12100,13180,13040,13280,14430,13230,12860,15050
"2016Q4",14060,17010,14910,14120,13280,13540,15210,13560,17550,13110,13860,13740,13940,15020,14100,13840,15700
"2017Q1",13580,16570,14080,13530,12690,13250,15140,13250,16700,12670,13170,13330,13380,14460,13760,13330,15170
"2017Q2",13630,16840,14480,13920,13000,13510,15060,13430,17400,12930,13620,13790,13370,14820,13870,13360,15490
"2017Q3",13580,17060,14320,13910,12840,13370,15020,13410,16880,12790,13720,13680,13560,14810,13720,13300,15480
"2017Q4",14470,17660,15230,14620,13810,14160,15880,13970,18280,13810,14690,14500,14180,15590,14590,14300,16280
"2018Q1",13660,17060,14310,13900,13050,13600,15570,13460,17160,12690,13550,13790,13830,14790,13840,13620,15530
"2018Q2",14020,17410,14850,14520,13490,13960,15670,13860,17770,13280,14310,14350,14370,15260,14230,13970,15970
"2018Q3",14100,17690,15000,14490,13520,14060,15720,14000,17530,13360,14340,14670,14660,15370,14220,13930,16100
"2018Q4",15200,18490,16070,15520,14720,15060,16690,14810,18980,14440,15300,15310,15600,16260,15310,14950,17070
"2019Q1",13870,17290,14790,14250,13590,13930,15680,13960,17500,13370,13940,14090,14300,15060,14170,14010,15860
"2019Q2",14430,18000,15510,15030,14290,14630,16010,14480,18410,13950,14890,14780,14760,15660,14850,14460,16550
"2019Q3",14630,18160,15530,15070,14100,14590,16110,14560,18150,13980,14880,14790,15090,15670,14660,14390,16570
"2019Q4",15780,19110,16710,16100,15370,15860,17190,15540,19810,15240,16010,15810,15940,16910,16150,15800,17740
"2020Q1",14550,17930,15500,14800,14220,14690,16250,14730,18470,13980,14620,14790,15030,15650,14880,14660,16540
"2020Q2",14470,17470,15420,14790,14260,14580,15780,14660,18210,13800,14590,14710,14640,15350,14590,14600,16260
"2020Q3",15530,18680,16390,15890,15220,15420,16620,15510,19320,14630,15570,15390,15720,16380,15350,15140,17320
"2020Q4",16000,19290,17000,16290,15480,15840,17320,15770,19560,14810,15800,15490,16100,16840,16010,16010,17810
"2021Q1",15510,19240,16520,16100,15330,15780,16800,15520,19570,14600,15920,15560,15570,16400,15930,15850,17630
"Table information:"
"Units:"
"$, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"LED001AA"
""
"Last updated:"
"Mean Earnings - Continuing: 24 May 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
