"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","",""
"","Total Both Sexes","","","","","","","","","","","","","","","",""
" ","Northland","Auckland","Waikato","Bay of Plenty","Gisborne / Hawke's Bay","Taranaki","Taranaki / Manawatu - Whanganui","Manawatu - Whanganui","Wellington","Tasman / Nelson / Marlborough / West Coast","Canterbury","Otago / Southland","Otago","Southland","North Island","South Island","Total All Regional Councils"
" ","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate","Unemployment Rate"
"1994Q2",12.9,8.0,9.4,10.7,8.8,8.2,"..",8.9,9.3,6.8,7.2,"..",6.4,6.5,8.9,6.9,8.4
"1994Q3",14.7,7.3,7.7,10.1,8.9,8.1,"..",9.2,8.1,6.0,6.0,"..",5.9,7.7,8.3,6.1,7.8
"1994Q4",14.3,6.7,7.8,9.7,9.4,7.8,"..",8.8,7.7,6.5,6.5,"..",6.0,6.0,8.0,6.3,7.5
"1995Q1",13.6,5.9,8.8,10.1,9.2,7.8,"..",6.0,7.6,7.7,6.0,"..",4.9,4.8,7.5,5.9,7.1
"1995Q2",10.0,5.8,6.8,9.6,7.1,6.2,"..",6.2,6.4,4.1,5.9,"..",5.0,5.3,6.6,5.3,6.3
"1995Q3",10.0,5.4,6.4,7.0,7.7,8.3,"..",8.1,6.5,5.6,5.2,"..",3.9,3.7,6.5,4.8,6.1
"1995Q4",11.7,5.2,6.6,8.3,6.3,6.5,"..",8.0,6.9,4.1,6.0,"..",6.7,5.5,6.5,5.8,6.3
"1996Q1",11.9,5.1,8.2,9.3,6.9,7.5,"..",7.5,7.6,4.9,6.9,"..",5.1,4.5,6.9,5.9,6.7
"1996Q2",11.4,5.3,6.5,6.6,7.4,6.4,"..",6.3,6.4,5.9,6.0,"..",5.9,4.7,6.2,5.8,6.1
"1996Q3",9.1,5.7,7.5,8.1,9.1,8.2,"..",6.3,5.4,6.1,5.5,"..",4.4,5.7,6.6,5.4,6.3
"1996Q4",6.9,5.1,6.5,9.3,7.9,7.5,"..",6.1,6.0,7.2,6.3,"..",4.5,4.9,6.2,5.9,6.1
"1997Q1",8.7,6.4,8.3,10.6,8.9,8.4,"..",6.0,6.6,5.3,7.2,"..",4.9,4.5,7.3,6.1,7.0
"1997Q2",10.4,7.0,7.5,9.1,8.2,6.9,"..",5.9,5.3,5.9,6.0,"..",5.5,4.1,7.1,5.7,6.7
"1997Q3",9.3,7.3,6.7,8.3,10.3,8.0,"..",5.5,5.0,4.8,6.9,"..",4.6,6.9,7.1,6.1,6.8
"1997Q4",10.1,7.0,7.4,9.1,8.3,6.6,"..",5.7,5.8,4.8,6.2,"..",6.0,6.5,7.1,6.0,6.8
"1998Q1",12.8,7.7,8.3,9.9,9.3,6.7,"..",7.9,5.8,5.5,8.0,"..",6.9,6.3,8.0,7.2,7.8
"1998Q2",11.6,7.8,8.3,12.2,9.1,8.2,"..",6.9,5.4,7.3,7.6,"..",6.8,6.2,8.0,7.3,7.8
"1998Q3",11.6,6.8,8.4,11.2,10.7,6.8,"..",8.2,5.7,6.0,7.1,"..",7.0,8.9,7.7,7.1,7.5
"1998Q4",14.1,6.7,9.2,11.8,8.1,7.3,"..",5.6,7.1,5.3,8.5,"..",7.2,7.2,7.8,7.5,7.8
"1999Q1",13.2,7.0,10.3,11.9,6.9,7.0,"..",7.5,6.7,6.1,7.8,"..",7.6,6.1,8.0,7.3,7.8
"1999Q2",14.0,6.3,8.7,10.9,7.4,6.3,"..",5.8,6.7,5.8,7.2,"..",6.9,6.1,7.4,6.8,7.3
"1999Q3",9.3,6.3,7.6,9.2,7.6,6.8,"..",7.2,5.1,6.8,7.0,"..",6.9,5.7,6.8,6.8,6.8
"1999Q4",9.7,5.0,6.4,8.6,9.3,8.9,"..",7.9,4.2,6.4,6.7,"..",6.0,6.4,6.2,6.5,6.2
"2000Q1",9.8,6.5,7.9,7.5,7.3,10.1,"..",6.7,6.4,4.9,5.9,"..",6.6,6.7,7.1,5.9,6.8
"2000Q2",8.9,5.9,5.9,8.9,6.2,8.3,"..",6.8,5.4,5.5,6.2,"..",6.3,4.7,6.4,6.0,6.3
"2000Q3",9.2,5.2,6.2,8.4,7.7,6.2,"..",6.7,5.1,4.6,5.5,"..",5.2,5.0,6.1,5.2,5.9
"2000Q4",9.1,5.1,6.1,6.6,8.0,5.3,"..",5.5,4.7,4.7,5.4,"..",5.7,5.7,5.7,5.4,5.6
"2001Q1",7.8,5.4,6.6,9.0,7.0,6.3,"..",6.7,4.5,3.0,6.0,"..",5.3,2.9,6.0,5.1,5.8
"2001Q2",6.9,5.7,6.0,7.8,6.6,4.8,"..",4.6,3.3,2.5,5.8,"..",6.0,3.3,5.5,5.1,5.4
"2001Q3",8.5,4.3,5.9,8.6,6.0,5.8,"..",4.4,4.7,4.6,5.2,"..",6.7,2.7,5.3,5.2,5.2
"2001Q4",9.5,4.7,6.3,8.2,7.2,6.1,"..",5.4,4.8,4.1,4.9,"..",4.1,4.9,5.7,4.6,5.4
"2002Q1",11.1,5.0,6.3,7.5,4.9,5.0,"..",6.2,5.9,3.6,5.5,"..",6.4,3.7,5.8,5.2,5.7
"2002Q2",9.0,5.1,4.9,8.3,5.0,4.5,"..",5.5,4.5,4.1,4.7,"..",5.6,2.8,5.4,4.6,5.2
"2002Q3",8.9,5.0,5.6,7.5,5.2,5.7,"..",5.3,4.8,2.3,5.6,"..",6.5,3.8,5.5,5.1,5.4
"2002Q4",8.8,4.1,5.6,6.9,6.1,5.8,"..",4.0,5.0,4.2,4.2,"..",5.3,4.0,5.0,4.4,4.9
"2003Q1",10.2,4.6,5.7,7.9,6.3,5.2,"..",4.8,6.2,3.5,4.4,"..",5.8,3.4,5.7,4.4,5.4
"2003Q2",7.6,4.1,5.2,7.0,4.3,5.7,"..",5.4,4.8,3.0,4.3,"..",5.5,3.6,4.9,4.3,4.7
"2003Q3",8.7,3.4,3.3,5.3,5.3,5.1,"..",5.3,4.8,3.8,4.4,"..",5.8,3.0,4.3,4.5,4.4
"2003Q4",7.2,3.9,4.4,6.3,5.7,4.5,"..",3.8,5.6,3.6,3.7,"..",5.6,4.4,4.7,4.1,4.6
"2004Q1",4.4,4.5,4.0,7.0,6.1,5.3,"..",5.9,4.8,2.8,4.4,"..",4.3,3.0,4.9,4.0,4.7
"2004Q2",5.0,3.9,3.1,5.3,4.4,3.7,"..",4.3,4.8,3.3,4.0,"..",4.6,2.2,4.1,3.8,4.1
"2004Q3",5.4,3.9,2.9,3.2,5.5,4.3,"..",3.0,4.0,1.9,3.6,"..",3.2,6.2,3.8,3.5,3.7
"2004Q4",4.3,3.4,3.2,4.5,4.9,4.4,"..",4.3,4.0,2.3,3.1,"..",3.3,3.7,3.8,3.1,3.6
"2005Q1",4.4,4.3,4.2,4.7,4.7,3.8,"..",4.8,4.7,2.7,4.0,"..",4.5,3.5,4.4,3.8,4.3
"2005Q2",7.5,3.4,4.9,3.1,4.8,2.9,"..",4.2,4.2,2.4,2.6,"..",4.1,2.5,4.0,2.9,3.7
"2005Q3",5.9,3.5,3.9,4.2,7.0,3.5,"..",4.6,3.2,2.5,3.0,"..",2.8,2.1,4.0,2.8,3.7
"2005Q4",5.0,3.7,4.2,4.1,4.9,4.2,"..",4.2,3.1,3.3,2.4,"..",3.2,2.8,3.9,2.7,3.6
"2006Q1",5.7,3.9,4.5,5.1,3.9,5.0,"..",5.4,5.8,4.1,3.8,"..",5.2,3.5,4.6,4.1,4.5
"2006Q2",5.9,3.2,2.9,3.8,3.8,2.4,"..",4.7,5.9,2.2,2.7,"..",3.1,2.6,3.9,2.7,3.6
"2006Q3",5.6,3.8,3.8,4.2,4.8,3.5,"..",4.0,3.6,3.1,2.9,"..",3.4,3.0,4.0,3.0,3.7
"2006Q4",3.6,3.9,2.8,3.6,4.9,2.7,"..",4.4,4.4,3.1,2.9,"..",3.5,2.7,3.8,3.0,3.6
"2007Q1",5.2,4.6,4.4,4.0,4.8,4.1,"..",5.0,4.7,2.4,3.3,"..",3.1,3.3,4.6,3.1,4.2
"2007Q2",3.4,3.3,3.7,2.9,5.1,3.9,"..",5.2,3.4,3.3,3.1,"..",3.5,1.9,3.6,3.1,3.5
"2007Q3",5.6,3.6,3.3,3.4,4.3,2.7,"..",5.1,3.3,2.5,2.6,"..",3.1,2.5,3.7,2.7,3.4
"2007Q4",2.7,3.6,3.3,3.8,4.8,2.6,"..",5.4,2.4,2.7,2.4,"..",3.0,1.7,3.5,2.5,3.2
"2008Q1",4.7,4.6,4.1,5.0,5.9,3.6,"..",5.0,5.0,3.4,2.7,"..",2.4,2.0,4.7,2.7,4.2
"2008Q2",4.1,4.1,4.0,3.8,4.4,3.0,"..",4.4,3.1,2.9,3.1,"..",4.2,2.2,3.9,3.2,3.7
"2008Q3",7.2,4.1,4.4,4.1,6.7,3.4,"..",3.6,3.4,3.2,3.0,"..",2.5,3.3,4.3,2.9,3.9
"2008Q4",6.5,5.0,4.4,4.4,6.4,3.1,"..",3.7,3.5,3.3,3.3,"..",2.9,2.6,4.7,3.1,4.3
"2009Q1",8.6,6.3,5.7,6.0,6.9,2.7,"..",4.7,4.7,2.9,4.5,"..",4.0,2.6,5.9,4.0,5.4
"2009Q2",7.8,6.1,6.6,5.8,7.3,4.3,"..",4.7,5.3,3.1,4.7,"..",5.0,3.4,6.0,4.4,5.6
"2009Q3",9.0,6.2,6.0,7.6,10.0,3.7,"..",5.4,5.6,4.0,5.3,"..",5.4,3.4,6.4,4.9,6.1
"2009Q4",9.1,7.2,5.8,7.1,8.4,6.0,"..",8.0,6.0,4.4,4.9,"..",3.8,4.2,7.0,4.6,6.4
"2010Q1",8.9,7.5,5.2,7.9,6.7,4.9,"..",7.0,5.1,4.7,5.3,"..",5.9,3.0,6.8,5.1,6.4
"2010Q2",9.0,8.1,5.7,7.9,8.6,4.5,"..",6.9,4.8,3.2,4.5,"..",4.6,3.9,7.1,4.3,6.4
"2010Q3",8.0,6.8,6.6,8.5,7.2,4.8,"..",6.3,4.5,3.8,4.7,"..",3.5,4.4,6.5,4.3,6.0
"2010Q4",8.4,7.0,5.7,7.0,7.2,4.9,"..",6.5,4.9,4.4,5.4,"..",4.3,5.4,6.5,5.0,6.1
"2011Q1",9.6,7.0,6.9,7.2,8.0,4.6,"..",6.6,6.4,5.1,4.9,"..",4.0,3.7,7.0,4.6,6.4
"2011Q2",7.4,6.6,5.7,6.7,6.9,5.1,"..",6.8,4.9,4.0,5.3,"..",4.7,3.3,6.3,4.8,5.9
"2011Q3",8.6,6.2,6.7,7.4,7.3,5.1,"..",6.3,5.1,3.8,4.9,"..",4.1,4.5,6.3,4.5,5.9
"2011Q4",8.1,6.2,6.1,8.0,6.9,3.6,"..",6.1,6.6,4.7,4.4,"..",4.4,4.6,6.4,4.5,5.9
"2012Q1",8.3,7.3,8.1,8.3,8.1,4.5,"..",8.9,5.6,5.5,4.8,"..",4.8,3.9,7.3,4.8,6.7
"2012Q2",8.8,6.9,6.6,5.9,6.1,3.7,"..",7.1,5.9,4.3,6.1,"..",4.3,4.0,6.6,5.2,6.2
"2012Q3",9.2,7.7,5.9,6.9,9.0,4.5,"..",7.9,6.5,4.3,4.8,"..",4.7,5.1,7.3,4.7,6.7
"2012Q4",9.5,6.4,5.5,8.4,8.7,5.0,"..",8.2,7.1,5.8,4.4,"..",4.1,4.3,6.9,4.5,6.3
"2013Q1",9.7,6.8,5.5,7.8,8.3,5.2,"..",7.0,6.3,4.7,4.0,"..",4.5,2.8,6.8,4.1,6.1
"2013Q2",7.2,6.4,5.5,5.9,7.5,5.0,"..",8.5,6.0,4.0,4.0,"..",5.7,4.3,6.4,4.4,5.9
"2013Q3",9.3,6.0,5.8,6.9,8.3,5.3,"..",7.2,5.5,3.9,3.9,"..",4.7,5.3,6.3,4.2,5.8
"2013Q4",8.5,5.6,6.4,9.0,7.3,5.8,"..",5.2,6.1,4.2,3.1,"..",4.0,5.6,6.2,3.7,5.6
"2014Q1",7.6,6.7,6.3,6.8,8.1,6.4,"..",7.5,5.1,4.9,3.2,"..",4.5,4.3,6.6,3.8,5.9
"2014Q2",7.5,5.8,6.2,5.6,6.6,5.2,"..",6.7,5.0,4.0,2.6,"..",3.1,3.1,5.9,3.0,5.1
"2014Q3",8.5,5.7,5.7,6.5,6.9,4.4,"..",6.6,5.2,3.3,3.1,"..",3.3,3.4,5.9,3.2,5.2
"2014Q4",8.0,5.6,5.5,5.6,7.9,4.8,"..",8.9,5.5,6.1,3.4,"..",3.8,3.3,6.0,3.9,5.5
"2015Q1",9.1,6.5,6.0,7.7,7.3,6.0,"..",7.4,5.7,4.3,2.8,"..",3.3,3.7,6.6,3.2,5.8
"2015Q2",7.7,5.9,4.7,6.3,7.7,7.4,"..",6.7,5.2,4.3,3.1,"..",3.8,5.3,6.0,3.6,5.4
"2015Q3",8.3,5.6,6.3,5.8,7.1,4.6,"..",6.4,6.3,5.0,3.6,"..",3.8,5.2,6.0,4.0,5.5
"2015Q4",6.2,5.1,4.9,6.0,6.7,4.0,"..",6.2,5.3,4.1,3.4,"..",4.1,3.9,5.3,3.7,4.9
"2016Q1",8.6,6.1,5.6,4.8,8.3,5.9,"..",6.9,5.9,5.1,2.7,"..",4.4,4.5,6.2,3.6,5.5
"2016Q2",10.9,4.7,5.0,5.1,5.0,4.8,"..",5.6,5.3,5.9,3.2,"..",4.5,5.0,5.2,4.1,4.9
"2016Q3",7.8,5.3,4.6,5.2,6.6,4.7,"..",4.7,4.7,2.7,3.9,"..",3.6,5.4,5.2,3.8,4.9
"2016Q4",7.6,5.1,5.8,4.9,8.1,6.9,"..",5.9,5.6,4.1,3.6,"..",4.0,5.0,5.6,3.9,5.2
"2017Q1",8.3,5.0,5.1,7.8,7.8,6.3,"..",5.3,5.1,2.7,4.0,"..",4.3,4.7,5.6,3.9,5.2
"2017Q2",7.5,4.5,4.5,6.2,5.9,5.2,"..",4.8,4.9,2.9,3.8,"..",4.9,4.6,4.9,4.0,4.7
"2017Q3",6.9,4.6,3.8,4.8,9.0,5.1,"..",5.6,4.6,2.2,3.6,"..",3.9,5.1,4.9,3.6,4.6
"2017Q4",5.7,4.1,5.0,5.2,5.7,6.5,"..",5.7,3.8,3.4,4.0,"..",4.5,3.7,4.6,4.0,4.4
"2018Q1",5.9,4.5,4.9,6.1,5.3,5.2,"..",6.3,4.8,3.6,3.6,"..",4.6,2.9,4.9,3.7,4.6
"2018Q2",4.9,4.2,4.3,5.0,4.5,5.4,"..",6.8,4.7,4.7,4.0,"..",3.4,3.0,4.6,3.9,4.4
"2018Q3",6.5,3.7,3.4,3.6,4.3,4.2,"..",3.7,4.4,4.0,3.5,"..",3.8,4.5,3.9,3.7,3.9
"2018Q4",5.8,4.3,3.5,5.1,5.1,4.8,"..",6.1,4.4,4.5,3.7,"..",3.6,4.2,4.5,3.9,4.4
"2019Q1",7.3,4.4,4.3,4.7,5.6,5.7,"..",6.5,3.7,3.3,4.0,"..",3.3,3.4,4.7,3.7,4.4
"2019Q2",5.4,4.2,3.5,3.5,4.9,5.3,"..",4.6,3.4,3.2,3.5,"..",2.9,3.1,4.1,3.3,3.9
"2019Q3",5.2,4.2,3.9,3.9,5.3,6.1,"..",5.4,2.9,3.4,3.6,"..",3.0,4.6,4.2,3.6,4.0
"2019Q4",5.9,4.1,3.5,4.7,4.3,4.3,"..",4.5,3.9,4.2,3.6,"..",3.8,3.3,4.2,3.7,4.1
"2020Q1",4.1,4.8,4.8,5.2,5.9,3.8,"..",4.1,4.5,2.7,4.0,"..",3.8,2.5,4.8,3.6,4.5
"2020Q2",3.0,4.0,3.9,4.1,4.3,4.4,"..",4.7,4.1,2.4,3.8,"..",4.6,3.3,4.0,3.7,3.9
"2020Q3",5.9,5.6,3.9,5.6,6.7,4.5,"..",4.7,4.9,3.5,4.5,"..",5.1,4.0,5.3,4.4,5.1
"2020Q4",5.6,5.3,4.8,5.6,5.7,6.3,"..",4.5,4.6,3.1,4.3,"..",3.9,3.3,5.2,3.9,4.9
"2021Q1",5.4,5.3,5.4,5.5,5.1,5.3,"..",3.8,4.6,3.2,4.5,"..",4.5,3.5,5.1,4.2,4.9
"2021Q2",3.5,4.1,3.2,4.4,3.1,4.1,"..",4.8,4.0,3.6,3.9,"..",3.0,3.3,3.9,3.6,3.9
"2021Q3",3.9,3.1,3.4,3.8,2.6,4.0,"..",2.7,2.9,3.6,3.4,"..",2.7,3.7,3.2,3.3,3.2
"2021Q4",3.3,3.0,3.3,4.3,3.8,4.2,"..",2.6,2.8,3.2,3.2,"..",2.8,3.2,3.2,3.1,3.2
"2022Q1",3.5,3.6,3.9,4.2,3.5,2.4,"..",2.8,2.9,3.2,3.3,"..",3.5,2.6,3.5,3.2,3.4
"Table information:"
"Units:"
"Unemployment Rate: Percent, Magnitude = Units"
""
"Footnotes:"
"On 1 November 2010, the new Auckland territorial authority (TA) replaced the existing: Rodney District, North Shore City, Auckland City, Waitakere City, Manukau City, Papakura District, and part of Franklin District councils."
"The changes were introduced in the release for the June 2011 quarter and backcast for the March 2011 quarter."
"This has resulted in minor changes in the boundary between the Auckland and Waikato regions. The new boundaries do not significantly affect measures from the Household Labour Force Survey (HLFS)."
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"HLF051AA"
""
"Last updated:"
"Unemployment Rate: 04 May 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
