"Regional Council 1-way (Qrtly-Mar/Jun/Sep/Dec)","","","","","","","","","","","","","","","","",""
"","Northland","Auckland","Waikato","Bay of Plenty","Gisborne","Hawke's Bay","Taranaki","Manawatu-Wanganui","Wellington","Tasman","Nelson","Marlborough","West Coast","Canterbury","Otago","Southland","Total all regions"
" ","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All","Median Earnings - All"
"2011Q3",9940,11750,10710,9880,9420,9780,10500,9830,12000,9470,9720,9980,10790,10580,9750,10000,10910
"2011Q4",10370,12310,11050,10390,10050,10390,10910,10440,12480,9680,10120,10280,11350,11140,10410,10710,11440
"2012Q1",9960,11760,10590,10030,9600,9850,10760,10060,12100,9640,10040,10000,11030,10750,10200,10370,11020
"2012Q2",10110,11950,10740,10330,9690,10070,11030,10140,12020,9530,10030,10170,11300,10910,10180,10530,11170
"2012Q3",10170,12000,10890,10230,9600,10010,11060,10080,12290,9750,10170,10230,11420,10950,10150,10400,11210
"2012Q4",10770,12710,11540,10920,10630,10870,11600,10880,12870,10240,10640,10830,11880,11680,10910,11290,11940
"2013Q1",10240,11980,10770,10310,9920,10260,11190,10230,12260,9700,10230,10210,11080,10980,10380,10810,11250
"2013Q2",10380,12190,10990,10500,9880,10400,11310,10380,12230,9890,10430,10480,11320,11240,10440,10700,11430
"2013Q3",10460,12170,11130,10490,9890,10290,11350,10330,12600,9870,10370,10480,11170,11290,10400,10650,11450
"2013Q4",11250,13120,11940,11270,11020,11200,12340,11300,13220,10450,11020,11080,12050,12200,11280,11600,12340
"2014Q1",10400,12020,11000,10400,10080,10230,11520,10400,12470,9800,10390,10410,11380,11300,10610,10920,11390
"2014Q2",10740,12500,11320,10770,10230,10690,11740,10690,12600,9980,10600,10920,11750,11730,10770,11040,11760
"2014Q3",10820,12570,11560,10790,10400,10770,11840,10750,13000,10200,10890,10900,11640,11850,10850,11150,11900
"2014Q4",11490,13400,12290,11480,11130,11430,12530,11620,13750,10750,11230,11440,12420,12620,11680,11940,12650
"2015Q1",10630,12360,11250,10610,10180,10490,11570,10730,12650,10070,10860,10800,11440,11680,10910,11450,11680
"2015Q2",11000,12690,11620,10940,10370,10800,11970,11050,12880,10340,10750,11200,11560,12000,10890,11280,12000
"2015Q3",11270,13020,12080,11320,10660,11200,12200,11200,13540,10430,11290,11340,11870,12380,11310,11480,12370
"2015Q4",11610,13460,12310,11520,10980,11510,12440,11670,13980,10770,11380,11750,12090,12700,11700,12070,12720
"2016Q1",11260,12980,11870,11250,10730,11210,12180,11430,13490,10400,11180,11470,11730,12240,11470,11980,12320
"2016Q2",11160,12970,11980,11240,10520,11210,12050,11240,13460,10650,11180,11490,11660,12270,11280,11590,12290
"2016Q3",11250,13120,12000,11360,10620,11220,12110,11280,13500,10410,11240,11440,11750,12370,11310,11480,12410
"2016Q4",11890,13730,12610,11940,11280,11770,12590,11770,14220,11250,11750,11960,12220,12980,12090,12160,13000
"2017Q1",11390,13180,12000,11400,10890,11340,12180,11560,13610,10870,11290,11660,11700,12430,11670,11890,12490
"2017Q2",11530,13280,12290,11630,11060,11510,12430,11480,13750,11180,11540,11960,11620,12580,11680,11770,12610
"2017Q3",11700,13500,12270,11760,11140,11570,12450,11630,13750,11070,11730,12020,11900,12680,11660,11840,12740
"2017Q4",12280,14260,12990,12420,11810,12360,13060,12180,14790,11890,12440,12680,12640,13450,12610,12820,13490
"2018Q1",11630,13520,12300,11780,11310,11800,12500,11820,13900,11000,11630,12000,11950,12680,11900,12170,12760
"2018Q2",12010,13820,12750,12180,11620,12000,12970,12000,14190,11640,12090,12440,12500,13020,12160,12420,13110
"2018Q3",12210,14050,12890,12370,11750,12220,13000,12240,14350,11740,12330,12540,12800,13240,12170,12600,13320
"2018Q4",12990,15000,13750,13250,12770,13150,13820,12920,15500,12570,13060,13360,13530,14090,13200,13480,14240
"2019Q1",11890,13840,12690,12060,11660,12040,12800,12190,14250,11560,11960,12350,12200,12920,12160,12600,13080
"2019Q2",12420,14390,13260,12710,12240,12570,13310,12500,14870,11970,12580,12700,12760,13440,12620,12990,13640
"2019Q3",12620,14560,13370,12840,12250,12730,13450,12670,14960,12280,12690,12890,13220,13550,12680,12970,13770
"2019Q4",13750,15630,14490,13870,13500,13910,14540,13640,16250,13370,13740,13990,14150,14710,14040,14280,14920
"2020Q1",12610,14540,13410,12720,12370,12770,13500,12950,15120,12200,12680,12950,12990,13540,12920,13250,13810
"2020Q2",12290,13850,13040,12510,12160,12520,13000,12530,14600,11870,12350,12810,12690,12990,12200,12980,13310
"2020Q3",13520,15320,14340,13660,13260,13480,14160,13620,16120,12810,13560,13560,14120,14300,13400,13840,14610
"2020Q4",13790,15740,14550,13940,13410,13810,14390,13800,16200,12930,13500,13680,14300,14610,13870,14330,14940
"2021Q1",13260,15220,14170,13540,13100,13690,14040,13510,15900,12740,13410,13750,13810,14100,13600,14220,14510
"Table information:"
"Units:"
"$, Magnitude = Units"
""
"Footnotes:"
" "
"Symbols:"
".. figure not available"
"C: Confidential"
"E: Early Estimate"
"P: Provisional"
"R: Revised"
"S: Suppressed"
""
"Status flags are not displayed"
""
"Table reference: "
"LED001AA"
""
"Last updated:"
"Median Earnings - All: 24 May 2022 10:45am"
""
"Source: Statistics New Zealand"
"Contact: Information Centre"
"Telephone: 0508 525 525"
"Email:info@stats.govt.nz"
""
""
""
