"Labour Force Status by Sex by Regional Council (Qrtly-Mar/Jun/Sep/Dec)","",""
"","","Total Both Sexes"
" "," ","Unemployment Rate"
" ","1991Q1",11.8
" ","1991Q2",11.4
" ","1991Q3",11.8
" ","1991Q4",11.1
" ","1992Q1",12.4
" ","1992Q2",10.4
" ","1992Q3",12.0
" ","1992Q4",12.9
" ","1993Q1",12.1
" ","1993Q2",11.3
" ","1993Q3",9.3
" ","1993Q4",9.6
" ","1994Q1",9.6
" ","1994Q2",8.9
" ","1994Q3",9.2
" ","1994Q4",8.8
" ","1995Q1",6.0
" ","1995Q2",6.2
" ","1995Q3",8.1
" ","1995Q4",8.0
" ","1996Q1",7.5
" ","1996Q2",6.3
" ","1996Q3",6.3
" ","1996Q4",6.1
" ","1997Q1",6.0
" ","1997Q2",5.9
" ","1997Q3",5.5
" ","1997Q4",5.7
" ","1998Q1",7.9
" ","1998Q2",6.9
" ","1998Q3",8.2
" ","1998Q4",5.6
" ","1999Q1",7.5
" ","1999Q2",5.8
" ","1999Q3",7.2
" ","1999Q4",7.9
" ","2000Q1",6.7
" ","2000Q2",6.8
" ","2000Q3",6.7
" ","2000Q4",5.5
" ","2001Q1",6.7
" ","2001Q2",4.6
" ","2001Q3",4.4
" ","2001Q4",5.4
" ","2002Q1",6.2
" ","2002Q2",5.5
" ","2002Q3",5.3
" ","2002Q4",4.0
" ","2003Q1",4.8
" ","2003Q2",5.4
" ","2003Q3",5.3
" ","2003Q4",3.8
" ","2004Q1",5.9
" ","2004Q2",4.3
" ","2004Q3",3.0
" ","2004Q4",4.3
" ","2005Q1",4.8
" ","2005Q2",4.2
" ","2005Q3",4.6
" ","2005Q4",4.2
" ","2006Q1",5.4
" ","2006Q2",4.7
" ","2006Q3",4.0
" ","2006Q4",4.4
" ","2007Q1",5.0
" ","2007Q2",5.2
" ","2007Q3",5.1
" ","2007Q4",5.4
" ","2008Q1",5.0
" ","2008Q2",4.4
" ","2008Q3",3.6
" ","2008Q4",3.7
" ","2009Q1",4.7
" ","2009Q2",4.7
" ","2009Q3",5.4
" ","2009Q4",8.0
" ","2010Q1",7.0
" ","2010Q2",6.9
" ","2010Q3",6.3
" ","2010Q4",6.5
" ","2011Q1",6.6
" ","2011Q2",6.8
" ","2011Q3",6.3
" ","2011Q4",6.1
" ","2012Q1",8.9
" ","2012Q2",7.1
" ","2012Q3",7.9
" ","2012Q4",8.2
" ","2013Q1",7.0
" ","2013Q2",8.5
" ","2013Q3",7.2
" ","2013Q4",5.2
" ","2014Q1",7.5
" ","2014Q2",6.7
" ","2014Q3",6.6
" ","2014Q4",8.9
" ","2015Q1",7.4
" ","2015Q2",6.7
" ","2015Q3",6.4
" ","2015Q4",6.2
" ","2016Q1",6.9
" ","2016Q2",5.6
" ","2016Q3",4.7
" ","2016Q4",5.9
" ","2017Q1",5.3
" ","2017Q2",4.8
" ","2017Q3",5.6
" ","2017Q4",5.7
" ","2018Q1",6.3
" ","2018Q2",6.8
" ","2018Q3",3.7
" ","2018Q4",6.1
" ","2019Q1",6.5
" ","2019Q2",4.6
" ","2019Q3",5.4
" ","2019Q4",4.5
" ","2020Q1",4.1
" ","2020Q2",4.7
" ","2020Q3",4.7
" ","2020Q4",4.5
" ","2021Q1",3.8
" ","2021Q2",4.8
" ","2021Q3",2.7
" ","2021Q4",2.6
" ","2022Q1",2.8
" ","2022Q2",3.5
" ","2022Q3",3.6
"Wellington","1986Q1",3.0
" ","1986Q2",3.0
" ","1986Q3",2.6
" ","1986Q4",2.7
" ","1987Q1",3.3
" ","1987Q2",2.9
" ","1987Q3",3.0
" ","1987Q4",2.9
" ","1988Q1",4.7
" ","1988Q2",4.5
" ","1988Q3",4.8
" ","1988Q4",4.5
" ","1989Q1",6.3
" ","1989Q2",6.4
" ","1989Q3",5.6
" ","1989Q4",6.2
" ","1990Q1",7.2
" ","1990Q2",6.5
" ","1990Q3",6.6
" ","1990Q4",7.4
" ","1991Q1",8.7
" ","1991Q2",8.4
" ","1991Q3",8.1
" ","1991Q4",8.3
" ","1992Q1",10.1
" ","1992Q2",8.0
" ","1992Q3",9.6
" ","1992Q4",10.0
" ","1993Q1",10.0
" ","1993Q2",8.9
" ","1993Q3",9.2
" ","1993Q4",9.5
" ","1994Q1",9.3
" ","1994Q2",9.3
" ","1994Q3",8.1
" ","1994Q4",7.7
" ","1995Q1",7.6
" ","1995Q2",6.4
" ","1995Q3",6.5
" ","1995Q4",6.9
" ","1996Q1",7.6
" ","1996Q2",6.4
" ","1996Q3",5.4
" ","1996Q4",6.0
" ","1997Q1",6.6
" ","1997Q2",5.3
" ","1997Q3",5.0
" ","1997Q4",5.8
" ","1998Q1",5.8
" ","1998Q2",5.4
" ","1998Q3",5.7
" ","1998Q4",7.1
" ","1999Q1",6.7
" ","1999Q2",6.7
" ","1999Q3",5.1
" ","1999Q4",4.2
" ","2000Q1",6.4
" ","2000Q2",5.4
" ","2000Q3",5.1
" ","2000Q4",4.7
" ","2001Q1",4.5
" ","2001Q2",3.3
" ","2001Q3",4.7
" ","2001Q4",4.8
" ","2002Q1",5.9
" ","2002Q2",4.5
" ","2002Q3",4.8
" ","2002Q4",5.0
" ","2003Q1",6.2
" ","2003Q2",4.8
" ","2003Q3",4.8
" ","2003Q4",5.6
" ","2004Q1",4.8
" ","2004Q2",4.8
" ","2004Q3",4.0
" ","2004Q4",4.0
" ","2005Q1",4.7
" ","2005Q2",4.2
" ","2005Q3",3.2
" ","2005Q4",3.1
" ","2006Q1",5.8
" ","2006Q2",5.9
" ","2006Q3",3.6
" ","2006Q4",4.4
" ","2007Q1",4.7
" ","2007Q2",3.4
" ","2007Q3",3.3
" ","2007Q4",2.4
" ","2008Q1",5.0
" ","2008Q2",3.1
" ","2008Q3",3.4
" ","2008Q4",3.5
" ","2009Q1",4.7
" ","2009Q2",5.3
" ","2009Q3",5.6
" ","2009Q4",6.0
" ","2010Q1",5.1
" ","2010Q2",4.8
" ","2010Q3",4.5
" ","2010Q4",4.9
" ","2011Q1",6.4
" ","2011Q2",4.9
" ","2011Q3",5.1
" ","2011Q4",6.6
" ","2012Q1",5.6
" ","2012Q2",5.9
" ","2012Q3",6.5
" ","2012Q4",7.1
" ","2013Q1",6.3
" ","2013Q2",6.0
" ","2013Q3",5.5
" ","2013Q4",6.1
" ","2014Q1",5.1
" ","2014Q2",5.0
" ","2014Q3",5.2
" ","2014Q4",5.5
" ","2015Q1",5.7
" ","2015Q2",5.2
" ","2015Q3",6.3
" ","2015Q4",5.3
" ","2016Q1",5.9
" ","2016Q2",5.3
" ","2016Q3",4.7
" ","2016Q4",5.6
" ","2017Q1",5.1
" ","2017Q2",4.9
" ","2017Q3",4.6
" ","2017Q4",3.8
" ","2018Q1",4.8
" ","2018Q2",4.7
" ","2018Q3",4.4
" ","2018Q4",4.4
" ","2019Q1",3.7
" ","2019Q2",3.4
" ","2019Q3",2.9
" ","2019Q4",3.9
" ","2020Q1",4.5
" ","2020Q2",4.1
" ","2020Q3",4.9
" ","2020Q4",4.6
" ","2021Q1",4.6
" ","2021Q2",4.0
" ","2021Q3",2.9
" ","2021Q4",2.8
" ","2022Q1",2.9
" ","2022Q2",2.7
" ","2022Q3",2.9
"Tasman / Nelson / Marlborough / West Coast","1986Q1",2.2
" ","1986Q2",4.5
" ","1986Q3",3.1
" ","1986Q4",3.7
" ","1987Q1",4.7
" ","1987Q2",4.5
" ","1987Q3",3.7
" ","1987Q4",5.8
" ","1988Q1",5.6
" ","1988Q2",3.6
" ","1988Q3",6.8
" ","1988Q4",7.9
" ","1989Q1",8.4
" ","1989Q2",10.2
" ","1989Q3",9.4
" ","1989Q4",6.9
" ","1990Q1",8.2
" ","1990Q2",8.5
" ","1990Q3",8.7
" ","1990Q4",8.9
" ","1991Q1",9.4
" ","1991Q2",7.9
" ","1991Q3",7.1
" ","1991Q4",9.7
" ","1992Q1",9.4
" ","1992Q2",6.1
" ","1992Q3",7.3
" ","1992Q4",9.1
" ","1993Q1",8.2
" ","1993Q2",9.3
" ","1993Q3",8.0
" ","1993Q4",9.3
" ","1994Q1",9.9
" ","1994Q2",6.8
" ","1994Q3",6.0
" ","1994Q4",6.5
" ","1995Q1",7.7
" ","1995Q2",4.1
" ","1995Q3",5.6
" ","1995Q4",4.1
" ","1996Q1",4.9
" ","1996Q2",5.9
" ","1996Q3",6.1
" ","1996Q4",7.2
" ","1997Q1",5.3
" ","1997Q2",5.9
" ","1997Q3",4.8
" ","1997Q4",4.8
" ","1998Q1",5.5
" ","1998Q2",7.3
" ","1998Q3",6.0
" ","1998Q4",5.3
" ","1999Q1",6.1
" ","1999Q2",5.8
" ","1999Q3",6.8
" ","1999Q4",6.4
" ","2000Q1",4.9
" ","2000Q2",5.5
" ","2000Q3",4.6
" ","2000Q4",4.7
" ","2001Q1",3.0
" ","2001Q2",2.5
" ","2001Q3",4.6
" ","2001Q4",4.1
" ","2002Q1",3.6
" ","2002Q2",4.1
" ","2002Q3",2.3
" ","2002Q4",4.2
" ","2003Q1",3.5
" ","2003Q2",3.0
" ","2003Q3",3.8
" ","2003Q4",3.6
" ","2004Q1",2.8
" ","2004Q2",3.3
" ","2004Q3",1.9
" ","2004Q4",2.3
" ","2005Q1",2.7
" ","2005Q2",2.4
" ","2005Q3",2.5
" ","2005Q4",3.3
" ","2006Q1",4.1
" ","2006Q2",2.2
" ","2006Q3",3.1
" ","2006Q4",3.1
" ","2007Q1",2.4
" ","2007Q2",3.3
" ","2007Q3",2.5
" ","2007Q4",2.7
" ","2008Q1",3.4
" ","2008Q2",2.9
" ","2008Q3",3.2
" ","2008Q4",3.3
" ","2009Q1",2.9
" ","2009Q2",3.1
" ","2009Q3",4.0
" ","2009Q4",4.4
" ","2010Q1",4.7
" ","2010Q2",3.2
" ","2010Q3",3.8
" ","2010Q4",4.4
" ","2011Q1",5.1
" ","2011Q2",4.0
" ","2011Q3",3.8
" ","2011Q4",4.7
" ","2012Q1",5.5
" ","2012Q2",4.3
" ","2012Q3",4.3
" ","2012Q4",5.8
" ","2013Q1",4.7
" ","2013Q2",4.0
" ","2013Q3",3.9
" ","2013Q4",4.2
" ","2014Q1",4.9
" ","2014Q2",4.0
" ","2014Q3",3.3
" ","2014Q4",6.1
" ","2015Q1",4.3
" ","2015Q2",4.3
" ","2015Q3",5.0
" ","2015Q4",4.1
" ","2016Q1",5.1
" ","2016Q2",5.9
" ","2016Q3",2.7
" ","2016Q4",4.1
" ","2017Q1",2.7
" ","2017Q2",2.9
" ","2017Q3",2.2
" ","2017Q4",3.4
" ","2018Q1",3.6
" ","2018Q2",4.7
" ","2018Q3",4.0
" ","2018Q4",4.5
" ","2019Q1",3.3
" ","2019Q2",3.2
" ","2019Q3",3.4
" ","2019Q4",4.2
" ","2020Q1",2.7
" ","2020Q2",2.4
" ","2020Q3",3.5
" ","2020Q4",3.1
" ","2021Q1",3.2
" ","2021Q2",3.6
" ","2021Q3",3.6
" ","2021Q4",3.2
" ","2022Q1",3.2
" ","2022Q2",2.5
" ","2022Q3",3.2
"Canterbury","1986Q1",4.7
" ","1986Q2",4.0
" ","1986Q3",3.5
" ","1986Q4",4.5
" ","1987Q1",4.5
" ","1987Q2",4.8
" ","1987Q3",4.2
" ","1987Q4",4.6
" ","1988Q1",4.7
" ","1988Q2",4.6
" ","1988Q3",5.3
" ","1988Q4",4.9
" ","1989Q1",6.5
" ","1989Q2",8.0
" ","1989Q3",6.3
" ","1989Q4",6.3
" ","1990Q1",7.7
" ","1990Q2",6.8
" ","1990Q3",7.9
" ","1990Q4",8.3
" ","1991Q1",8.7
" ","1991Q2",8.9
" ","1991Q3",9.8
" ","1991Q4",9.8
" ","1992Q1",8.8
" ","1992Q2",9.3
" ","1992Q3",8.9
" ","1992Q4",8.5
" ","1993Q1",9.7
" ","1993Q2",7.4
" ","1993Q3",6.6
" ","1993Q4",8.0
" ","1994Q1",8.2
" ","1994Q2",7.2
" ","1994Q3",6.0
" ","1994Q4",6.5
" ","1995Q1",6.0
" ","1995Q2",5.9
" ","1995Q3",5.2
" ","1995Q4",6.0
" ","1996Q1",6.9
" ","1996Q2",6.0
" ","1996Q3",5.5
" ","1996Q4",6.3
" ","1997Q1",7.2
" ","1997Q2",6.0
" ","1997Q3",6.9
" ","1997Q4",6.2
" ","1998Q1",8.0
" ","1998Q2",7.6
" ","1998Q3",7.1
" ","1998Q4",8.5
" ","1999Q1",7.8
" ","1999Q2",7.2
" ","1999Q3",7.0
" ","1999Q4",6.7
" ","2000Q1",5.9
" ","2000Q2",6.2
" ","2000Q3",5.5
" ","2000Q4",5.4
" ","2001Q1",6.0
" ","2001Q2",5.8
" ","2001Q3",5.2
" ","2001Q4",4.9
" ","2002Q1",5.5
" ","2002Q2",4.7
" ","2002Q3",5.6
" ","2002Q4",4.2
" ","2003Q1",4.4
" ","2003Q2",4.3
" ","2003Q3",4.4
" ","2003Q4",3.7
" ","2004Q1",4.4
" ","2004Q2",4.0
" ","2004Q3",3.6
" ","2004Q4",3.1
" ","2005Q1",4.0
" ","2005Q2",2.6
" ","2005Q3",3.0
" ","2005Q4",2.4
" ","2006Q1",3.8
" ","2006Q2",2.7
" ","2006Q3",2.9
" ","2006Q4",2.9
" ","2007Q1",3.3
" ","2007Q2",3.1
" ","2007Q3",2.6
" ","2007Q4",2.4
" ","2008Q1",2.7
" ","2008Q2",3.1
" ","2008Q3",3.0
" ","2008Q4",3.3
" ","2009Q1",4.5
" ","2009Q2",4.7
" ","2009Q3",5.3
" ","2009Q4",4.9
" ","2010Q1",5.3
" ","2010Q2",4.5
" ","2010Q3",4.7
" ","2010Q4",5.4
" ","2011Q1",4.9
" ","2011Q2",5.3
" ","2011Q3",4.9
" ","2011Q4",4.4
" ","2012Q1",4.8
" ","2012Q2",6.1
" ","2012Q3",4.8
" ","2012Q4",4.4
" ","2013Q1",4.0
" ","2013Q2",4.0
" ","2013Q3",3.9
" ","2013Q4",3.1
" ","2014Q1",3.2
" ","2014Q2",2.6
" ","2014Q3",3.1
" ","2014Q4",3.4
" ","2015Q1",2.8
" ","2015Q2",3.1
" ","2015Q3",3.6
" ","2015Q4",3.4
" ","2016Q1",2.7
" ","2016Q2",3.2
" ","2016Q3",3.9
" ","2016Q4",3.6
" ","2017Q1",4.0
" ","2017Q2",3.8
" ","2017Q3",3.6
" ","2017Q4",4.0
" ","2018Q1",3.6
" ","2018Q2",4.0
" ","2018Q3",3.5
" ","2018Q4",3.7
" ","2019Q1",4.0
" ","2019Q2",3.5
" ","2019Q3",3.6
" ","2019Q4",3.6
" ","2020Q1",4.0
" ","2020Q2",3.8
" ","2020Q3",4.5
" ","2020Q4",4.3
" ","2021Q1",4.5
" ","2021Q2",3.9
" ","2021Q3",3.4
" ","2021Q4",3.2
" ","2022Q1",3.3
" ","2022Q2",3.5
" ","2022Q3",2.9
"Otago / Southland","1986Q1",".."
" ","1986Q2",".."
" ","1986Q3",".."
" ","1986Q4",".."
" ","1987Q1",".."
" ","1987Q2",".."
" ","1987Q3",".."
" ","1987Q4",".."
" ","1988Q1",".."
" ","1988Q2",".."
" ","1988Q3",".."
" ","1988Q4",".."
" ","1989Q1",".."
" ","1989Q2",".."
" ","1989Q3",".."
" ","1989Q4",".."
" ","1990Q1",".."
" ","1990Q2",".."
" ","1990Q3",".."
" ","1990Q4",".."
" ","1991Q1",".."
" ","1991Q2",".."
" ","1991Q3",".."
" ","1991Q4",".."
" ","1992Q1",".."
" ","1992Q2",".."
" ","1992Q3",".."
" ","1992Q4",".."
" ","1993Q1",".."
" ","1993Q2",".."
" ","1993Q3",".."
" ","1993Q4",".."
" ","1994Q1",".."
" ","1994Q2",".."
" ","1994Q3",".."
" ","1994Q4",".."
" ","1995Q1",".."
" ","1995Q2",".."
" ","1995Q3",".."
" ","1995Q4",".."
" ","1996Q1",".."
" ","1996Q2",".."
" ","1996Q3",".."
" ","1996Q4",".."
" ","1997Q1",".."
" ","1997Q2",".."
" ","1997Q3",".."
" ","1997Q4",".."
" ","1998Q1",".."
" ","1998Q2",".."
" ","1998Q3",".."
" ","1998Q4",".."
" ","1999Q1",".."
" ","1999Q2",".."
" ","1999Q3",".."
" ","1999Q4",".."
" ","2000Q1",".."
" ","2000Q2",".."
" ","2000Q3",".."
" ","2000Q4",".."
" ","2001Q1",".."
" ","2001Q2",".."
" ","2001Q3",".."
" ","2001Q4",".."
" ","2002Q1",".."
" ","2002Q2",".."
" ","2002Q3",".."
" ","2002Q4",".."
" ","2003Q1",".."
" ","2003Q2",".."
" ","2003Q3",".."
" ","2003Q4",".."
" ","2004Q1",".."
" ","2004Q2",".."
" ","2004Q3",".."
" ","2004Q4",".."
" ","2005Q1",".."
" ","2005Q2",".."
" ","2005Q3",".."
" ","2005Q4",".."
" ","2006Q1",".."
" ","2006Q2",".."
" ","2006Q3",".."
" ","2006Q4",".."
" ","2007Q1",".."
" ","2007Q2",".."
" ","2007Q3",".."
" ","2007Q4",".."
" ","2008Q1",".."
" ","2008Q2",".."
" ","2008Q3",".."
" ","2008Q4",".."
" ","2009Q1",".."
" ","2009Q2",".."
" ","2009Q3",".."
" ","2009Q4",".."
" ","2010Q1",".."
" ","2010Q2",".."
" ","2010Q3",".."
" ","2010Q4",".."
" ","2011Q1",".."
" ","2011Q2",".."
" ","2011Q3",".."
" ","2011Q4",".."
" ","2012Q1",".."
" ","2012Q2",".."
" ","2012Q3",".."
" ","2012Q4",".."
" ","2013Q1",".."
" ","2013Q2",".."
" ","2013Q3",".."
" ","2013Q4",".."
" ","2014Q1",".."
" ","2014Q2",".."
" ","2014Q3",".."
" ","2014Q4",".."
" ","2015Q1",".."
" ","2015Q2",".."
" ","2015Q3",".."
" ","2015Q4",".."
" ","2016Q1",".."
" ","2016Q2",".."
" ","2016Q3",".."
" ","2016Q4",".."
" ","2017Q1",".."
" ","2017Q2",".."
" ","2017Q3",".."
" ","2017Q4",".."
" ","2018Q1",".."
" ","2018Q2",".."
" ","2018Q3",".."
" ","2018Q4",".."
" ","2019Q1",".."
" ","2019Q2",".."
" ","2019Q3",".."
" ","2019Q4",".."
" ","2020Q1",".."
" ","2020Q2",".."
" ","2020Q3",".."
" ","2020Q4",".."
" ","2021Q1",".."
" ","2021Q2",".."
" ","2021Q3",".."
" ","2021Q4",".."
" ","2022Q1",".."
" ","2022Q2",".."
" ","2022Q3",".."
"Otago","1986Q1",5.7
" ","1986Q2",5.8
" ","1986Q3",6.4
" ","1986Q4",5.5
" ","1987Q1",5.2
" ","1987Q2",4.8
" ","1987Q3",6.3
" ","1987Q4",6.7
" ","1988Q1",7.5
" ","1988Q2",9.7
" ","1988Q3",9.1
" ","1988Q4",8.6
" ","1989Q1",9.8
" ","1989Q2",7.9
" ","1989Q3",7.5
" ","1989Q4",8.6
" ","1990Q1",7.6
" ","1990Q2",7.3
" ","1990Q3",7.5
" ","1990Q4",8.7
" ","1991Q1",7.3
" ","1991Q2",8.0
" ","1991Q3",8.9
" ","1991Q4",8.9
" ","1992Q1",6.5
" ","1992Q2",8.3
" ","1992Q3",8.0
" ","1992Q4",7.4
" ","1993Q1",6.5
" ","1993Q2",7.2
" ","1993Q3",7.9
" ","1993Q4",7.2
" ","1994Q1",5.4
" ","1994Q2",6.4
" ","1994Q3",5.9
" ","1994Q4",6.0
" ","1995Q1",4.9
" ","1995Q2",5.0
" ","1995Q3",3.9
" ","1995Q4",6.7
" ","1996Q1",5.1
" ","1996Q2",5.9
" ","1996Q3",4.4
" ","1996Q4",4.5
" ","1997Q1",4.9
" ","1997Q2",5.5
" ","1997Q3",4.6
" ","1997Q4",6.0
" ","1998Q1",6.9
" ","1998Q2",6.8
" ","1998Q3",7.0
" ","1998Q4",7.2
" ","1999Q1",7.6
" ","1999Q2",6.9
" ","1999Q3",6.9
" ","1999Q4",6.0
" ","2000Q1",6.6
" ","2000Q2",6.3
" ","2000Q3",5.2
" ","2000Q4",5.7
" ","2001Q1",5.3
" ","2001Q2",6.0
" ","2001Q3",6.7
" ","2001Q4",4.1
" ","2002Q1",6.4
" ","2002Q2",5.6
" ","2002Q3",6.5
" ","2002Q4",5.3
" ","2003Q1",5.8
" ","2003Q2",5.5
" ","2003Q3",5.8
" ","2003Q4",5.6
" ","2004Q1",4.3
" ","2004Q2",4.6
" ","2004Q3",3.2
" ","2004Q4",3.3
" ","2005Q1",4.5
" ","2005Q2",4.1
" ","2005Q3",2.8
" ","2005Q4",3.2
" ","2006Q1",5.2
" ","2006Q2",3.1
" ","2006Q3",3.4
" ","2006Q4",3.5
" ","2007Q1",3.1
" ","2007Q2",3.5
" ","2007Q3",3.1
" ","2007Q4",3.0
" ","2008Q1",2.4
" ","2008Q2",4.2
" ","2008Q3",2.5
" ","2008Q4",2.9
" ","2009Q1",4.0
" ","2009Q2",5.0
" ","2009Q3",5.4
" ","2009Q4",3.8
" ","2010Q1",5.9
" ","2010Q2",4.6
" ","2010Q3",3.5
" ","2010Q4",4.3
" ","2011Q1",4.0
" ","2011Q2",4.7
" ","2011Q3",4.1
" ","2011Q4",4.4
" ","2012Q1",4.8
" ","2012Q2",4.3
" ","2012Q3",4.7
" ","2012Q4",4.1
" ","2013Q1",4.5
" ","2013Q2",5.7
" ","2013Q3",4.7
" ","2013Q4",4.0
" ","2014Q1",4.5
" ","2014Q2",3.1
" ","2014Q3",3.3
" ","2014Q4",3.8
" ","2015Q1",3.3
" ","2015Q2",3.8
" ","2015Q3",3.8
" ","2015Q4",4.1
" ","2016Q1",4.4
" ","2016Q2",4.5
" ","2016Q3",3.6
" ","2016Q4",4.0
" ","2017Q1",4.3
" ","2017Q2",4.9
" ","2017Q3",3.9
" ","2017Q4",4.5
" ","2018Q1",4.6
" ","2018Q2",3.4
" ","2018Q3",3.8
" ","2018Q4",3.6
" ","2019Q1",3.3
" ","2019Q2",2.9
" ","2019Q3",3.0
" ","2019Q4",3.8
" ","2020Q1",3.8
" ","2020Q2",4.6
" ","2020Q3",5.1
" ","2020Q4",3.9
" ","2021Q1",4.5
" ","2021Q2",3.0
" ","2021Q3",2.7
" ","2021Q4",2.8
" ","2022Q1",3.5
" ","2022Q2",2.4
" ","2022Q3",1.6
"Southland","1986Q1",5.6
" ","1986Q2",6.0
" ","1986Q3",4.3
" ","1986Q4",4.5
" ","1987Q1",4.4
" ","1987Q2",5.5
" ","1987Q3",9.4
" ","1987Q4",7.5
" ","1988Q1",6.1
" ","1988Q2",9.7
" ","1988Q3",8.7
" ","1988Q4",7.9
" ","1989Q1",3.3
" ","1989Q2",7.5
" ","1989Q3",11.9
" ","1989Q4",12.2
" ","1990Q1",9.7
" ","1990Q2",5.3
" ","1990Q3",7.8
" ","1990Q4",8.2
" ","1991Q1",7.0
" ","1991Q2",7.7
" ","1991Q3",10.8
" ","1991Q4",11.0
" ","1992Q1",9.8
" ","1992Q2",8.9
" ","1992Q3",9.6
" ","1992Q4",7.8
" ","1993Q1",8.3
" ","1993Q2",7.0
" ","1993Q3",8.1
" ","1993Q4",7.0
" ","1994Q1",5.7
" ","1994Q2",6.5
" ","1994Q3",7.7
" ","1994Q4",6.0
" ","1995Q1",4.8
" ","1995Q2",5.3
" ","1995Q3",3.7
" ","1995Q4",5.5
" ","1996Q1",4.5
" ","1996Q2",4.7
" ","1996Q3",5.7
" ","1996Q4",4.9
" ","1997Q1",4.5
" ","1997Q2",4.1
" ","1997Q3",6.9
" ","1997Q4",6.5
" ","1998Q1",6.3
" ","1998Q2",6.2
" ","1998Q3",8.9
" ","1998Q4",7.2
" ","1999Q1",6.1
" ","1999Q2",6.1
" ","1999Q3",5.7
" ","1999Q4",6.4
" ","2000Q1",6.7
" ","2000Q2",4.7
" ","2000Q3",5.0
" ","2000Q4",5.7
" ","2001Q1",2.9
" ","2001Q2",3.3
" ","2001Q3",2.7
" ","2001Q4",4.9
" ","2002Q1",3.7
" ","2002Q2",2.8
" ","2002Q3",3.8
" ","2002Q4",4.0
" ","2003Q1",3.4
" ","2003Q2",3.6
" ","2003Q3",3.0
" ","2003Q4",4.4
" ","2004Q1",3.0
" ","2004Q2",2.2
" ","2004Q3",6.2
" ","2004Q4",3.7
" ","2005Q1",3.5
" ","2005Q2",2.5
" ","2005Q3",2.1
" ","2005Q4",2.8
" ","2006Q1",3.5
" ","2006Q2",2.6
" ","2006Q3",3.0
" ","2006Q4",2.7
" ","2007Q1",3.3
" ","2007Q2",1.9
" ","2007Q3",2.5
" ","2007Q4",1.7
" ","2008Q1",2.0
" ","2008Q2",2.2
" ","2008Q3",3.3
" ","2008Q4",2.6
" ","2009Q1",2.6
" ","2009Q2",3.4
" ","2009Q3",3.4
" ","2009Q4",4.2
" ","2010Q1",3.0
" ","2010Q2",3.9
" ","2010Q3",4.4
" ","2010Q4",5.4
" ","2011Q1",3.7
" ","2011Q2",3.3
" ","2011Q3",4.5
" ","2011Q4",4.6
" ","2012Q1",3.9
" ","2012Q2",4.0
" ","2012Q3",5.1
" ","2012Q4",4.3
" ","2013Q1",2.8
" ","2013Q2",4.3
" ","2013Q3",5.3
" ","2013Q4",5.6
" ","2014Q1",4.3
" ","2014Q2",3.1
" ","2014Q3",3.4
" ","2014Q4",3.3
" ","2015Q1",3.7
" ","2015Q2",5.3
" ","2015Q3",5.2
" ","2015Q4",3.9
" ","2016Q1",4.5
" ","2016Q2",5.0
" ","2016Q3",5.4
" ","2016Q4",5.0
" ","2017Q1",4.7
" ","2017Q2",4.6
" ","2017Q3",5.1
" ","2017Q4",3.7
" ","2018Q1",2.9
" ","2018Q2",3.0
" ","2018Q3",4.5
" ","2018Q4",4.2
" ","2019Q1",3.4
" ","2019Q2",3.1
" ","2019Q3",4.6
" ","2019Q4",3.3
" ","2020Q1",2.5
" ","2020Q2",3.3
" ","2020Q3",4.0
" ","2020Q4",3.3
" ","2021Q1",3.5
" ","2021Q2",3.3
" ","2021Q3",3.7
" ","2021Q4",3.2
" ","2022Q1",2.6
" ","2022Q2",2.7
" ","2022Q3",3.8
"North Island","1986Q1",4.3
" ","1986Q2",4.0
" ","1986Q3",4.0
" ","1986Q4",4.0
" ","1987Q1",4.1
" ","1987Q2",4.0
" ","1987Q3",3.7
" ","1987Q4",3.8
" ","1988Q1",5.0
" ","1988Q2",5.3
" ","1988Q3",6.1
" ","1988Q4",6.1
" ","1989Q1",7.5
" ","1989Q2",7.2
" ","1989Q3",7.1
" ","1989Q4",7.0
" ","1990Q1",7.3
" ","1990Q2",7.8
" ","1990Q3",7.9
" ","1990Q4",8.9
" ","1991Q1",10.9
" ","1991Q2",11.0
" ","1991Q3",11.5
" ","1991Q4",11.3
" ","1992Q1",12.5
" ","1992Q2",10.9
" ","1992Q3",11.0
" ","1992Q4",11.3
" ","1993Q1",11.2
" ","1993Q2",10.8
" ","1993Q3",10.0
" ","1993Q4",9.8
" ","1994Q1",10.4
" ","1994Q2",8.9
" ","1994Q3",8.3
" ","1994Q4",8.0
" ","1995Q1",7.5
" ","1995Q2",6.6
" ","1995Q3",6.5
" ","1995Q4",6.5
" ","1996Q1",6.9
" ","1996Q2",6.2
" ","1996Q3",6.6
" ","1996Q4",6.2
" ","1997Q1",7.3
" ","1997Q2",7.1
" ","1997Q3",7.1
" ","1997Q4",7.1
" ","1998Q1",8.0
" ","1998Q2",8.0
" ","1998Q3",7.7
" ","1998Q4",7.8
" ","1999Q1",8.0
" ","1999Q2",7.4
" ","1999Q3",6.8
" ","1999Q4",6.2
" ","2000Q1",7.1
" ","2000Q2",6.4
" ","2000Q3",6.1
" ","2000Q4",5.7
" ","2001Q1",6.0
" ","2001Q2",5.5
" ","2001Q3",5.3
" ","2001Q4",5.7
" ","2002Q1",5.8
" ","2002Q2",5.4
" ","2002Q3",5.5
" ","2002Q4",5.0
" ","2003Q1",5.7
" ","2003Q2",4.9
